"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 06, 2013","199.58","200.76","201.50","199.58","0.42K","-0.55%"
"Jun 05, 2013","200.69","200.82","200.91","200.69","0.02K","0.01%"
"Jun 04, 2013","200.66","200.72","200.89","200.66","0.05K","0.01%"
"Jun 03, 2013","200.63","200.89","200.89","200.63","0.13K","-0.07%"
"May 31, 2013","200.77","200.74","200.98","200.74","0.39K","-0.07%"
"May 30, 2013","200.91","200.89","200.91","200.89","0.29K","0.06%"
"May 29, 2013","200.79","201.14","201.14","200.79","0.00K","-0.43%"
"May 28, 2013","201.65","201.52","201.76","201.52","0.05K","0.01%"
"May 27, 2013","201.63","201.82","201.82","201.59","1.82K","0.09%"
"May 24, 2013","201.44","202.12","202.12","201.26","0.11K","-0.26%"
"May 23, 2013","201.97","202.29","202.29","201.97","0.23K","-0.33%"
"May 22, 2013","202.64","202.77","202.77","202.64","0.89K","0.08%"
"May 21, 2013","202.48","202.83","202.84","202.48","0.50K","-0.19%"
"May 20, 2013","202.87","202.80","203.19","202.80","0.07K","-0.07%"
"May 17, 2013","203.01","202.48","203.20","202.48","0.30K","0.21%"
"May 16, 2013","202.58","202.25","202.67","202.25","1.39K","0.31%"
"May 15, 2013","201.96","201.85","202.00","201.77","1.10K","0.00%"
"May 14, 2013","201.95","202.15","202.15","201.95","0.09K","-0.06%"
"May 13, 2013","202.08","202.46","202.46","202.08","6.39K","-0.05%"
"May 10, 2013","202.18","202.57","202.57","202.18","0.02K","-0.34%"
"May 09, 2013","202.87","203.10","203.10","202.87","0.02K","-0.14%"
"May 08, 2013","203.16","203.13","203.33","202.70","0.50K","0.10%"
"May 07, 2013","202.96","205.30","205.30","202.96","0.03K","-0.09%"
"May 06, 2013","203.14","203.41","203.41","202.96","0.57K","-0.05%"
"May 03, 2013","203.24","203.81","203.81","203.24","0.00K","-0.13%"
"May 02, 2013","203.51","203.13","203.51","202.95","0.57K","0.34%"
"Apr 30, 2013","202.83","202.80","203.05","202.80","0.10K","0.08%"
"Apr 29, 2013","202.66","202.59","202.66","202.59","0.05K","0.32%"
"Apr 26, 2013","202.02","201.80","202.07","201.80","0.96K","0.09%"
"Apr 25, 2013","201.83","201.83","201.83","201.83","-","-0.18%"
"Apr 24, 2013","202.19","202.19","202.19","202.19","-","-0.11%"
"Apr 23, 2013","202.42","202.27","202.68","202.27","14.48K","0.26%"
"Apr 22, 2013","201.90","201.84","201.90","201.67","0.75K","0.37%"
"Apr 19, 2013","201.15","201.34","201.34","201.15","0.06K","0.01%"
"Apr 18, 2013","201.12","201.27","201.27","201.12","0.75K","0.02%"
"Apr 17, 2013","201.07","201.07","201.07","201.07","-","0.27%"
"Apr 16, 2013","200.53","200.68","200.68","200.42","0.28K","0.00%"
"Apr 15, 2013","200.53","200.59","200.59","200.53","0.03K","0.06%"
"Apr 12, 2013","200.40","200.36","200.58","200.36","1.13K","0.18%"
"Apr 11, 2013","200.03","200.39","200.40","199.97","11.36K","-0.03%"
"Apr 10, 2013","200.09","200.40","200.40","199.95","1.77K","-0.08%"
"Apr 09, 2013","200.26","200.89","200.89","200.14","0.12K","-0.17%"
"Apr 08, 2013","200.61","200.66","200.66","200.44","2.69K","0.04%"
"Apr 05, 2013","200.53","200.17","200.74","199.94","1.38K","0.50%"
"Apr 04, 2013","199.54","199.67","199.67","199.54","0.03K","0.32%"
"Apr 03, 2013","198.90","198.73","199.10","198.73","36.98K","0.10%"
"Apr 02, 2013","198.70","198.33","198.70","198.32","2.16K","0.31%"
"Mar 28, 2013","198.09","198.06","198.25","198.06","5.49K","-0.05%"
"Mar 27, 2013","198.19","198.31","198.31","198.19","0.21K","-0.17%"
"Mar 26, 2013","198.52","198.69","198.69","198.43","0.93K","-0.07%"
"Mar 25, 2013","198.66","199.06","199.06","198.60","0.85K","-0.01%"
"Mar 22, 2013","198.67","198.78","198.82","198.67","0.92K","-0.01%"
"Mar 21, 2013","198.69","198.25","198.78","198.25","0.59K","0.19%"
"Mar 20, 2013","198.32","198.36","198.56","198.32","27.58K","0.00%"
"Mar 19, 2013","198.32","198.50","198.54","198.23","23.36K","-0.06%"
"Mar 18, 2013","198.43","197.97","198.43","197.97","2.92K","0.14%"
"Mar 15, 2013","198.15","198.10","198.79","198.10","1.89K","0.10%"
"Mar 14, 2013","197.95","198.11","198.16","197.95","0.83K","0.02%"
"Mar 13, 2013","197.91","198.20","198.20","197.70","1.03K","-0.08%"
"Mar 12, 2013","198.06","198.26","198.26","198.06","0.55K","0.12%"
"Mar 11, 2013","197.82","197.97","198.51","197.58","3.27K","0.03%"
"Mar 08, 2013","197.76","197.98","197.98","197.76","0.32K","0.06%"
"Mar 07, 2013","197.64","197.64","197.64","197.64","0.01K","0.00%"
"Mar 06, 2013","197.64","197.71","197.71","197.49","4.61K","0.13%"
"Mar 05, 2013","197.38","197.56","197.56","197.38","0.00K","0.09%"
"Mar 04, 2013","197.21","197.33","197.53","197.21","0.39K","-0.05%"
"Mar 01, 2013","197.30","197.32","197.43","197.13","0.64K","0.11%"
"Feb 28, 2013","197.08","196.78","197.17","196.78","4.09K","0.24%"
"Feb 27, 2013","196.61","197.00","197.00","196.61","0.23K","0.19%"
"Feb 26, 2013","196.24","196.24","196.24","196.24","-","-0.47%"
"Feb 25, 2013","197.16","197.21","197.21","197.16","0.60K","0.13%"
"Feb 22, 2013","196.90","196.86","196.90","196.61","0.64K","0.16%"
"Feb 21, 2013","196.59","196.35","196.59","196.34","0.72K","0.08%"
