,Portfolio
2014-02-26,156.49
2014-02-27,156.49
2014-02-28,156.39
2014-03-01,156.39
2014-03-02,156.39
2014-03-03,155.47
2014-03-04,156.88
2014-03-05,157.1
2014-03-06,156.93
2014-03-07,156.6
2014-03-08,156.6
2014-03-09,156.6
2014-03-10,156.22
2014-03-11,155.94
2014-03-12,155.43
2014-03-13,154.69
2014-03-14,154.44
2014-03-15,154.44
2014-03-16,154.44
2014-03-17,154.8
2014-03-18,155.62
2014-03-19,155.42
2014-03-20,155.49
2014-03-21,155.36
2014-03-22,155.36
2014-03-23,155.36
2014-03-24,154.81
2014-03-25,155.15
2014-03-26,155.26
2014-03-27,155.37
2014-03-28,155.82
2014-03-29,155.82
2014-03-30,155.82
2014-03-31,156.23
2014-04-01,156.79
2014-04-02,157.3
2014-04-03,157.34
2014-04-04,157.12
2014-04-05,157.12
2014-04-06,157.12
2014-04-07,155.99
2014-04-08,155.87
2014-04-09,156.48
2014-04-10,155.77
2014-04-11,154.55
2014-04-12,154.55
2014-04-13,154.55
2014-04-14,154.72
2014-04-15,154.63
2014-04-16,155.61
2014-04-17,155.89
2014-04-18,155.95
2014-04-19,155.95
2014-04-20,155.95
2014-04-21,155.94
2014-04-22,156.71
2014-04-23,156.42
2014-04-24,156.58
2014-04-25,155.74
2014-04-26,155.74
2014-04-27,155.74
2014-04-28,155.51
2014-04-29,155.96
2014-04-30,155.98
2014-05-01,156.16
2014-05-02,156.73
2014-05-03,156.73
2014-05-04,156.73
2014-05-05,156.67
2014-05-06,155.95
2014-05-07,155.87
2014-05-08,156.48
2014-05-09,156.78
2014-05-10,156.78
2014-05-11,156.78
2014-05-12,157.55
2014-05-13,157.7
2014-05-14,157.48
2014-05-15,156.9
2014-05-16,156.98
2014-05-17,156.98
2014-05-18,156.98
2014-05-19,157.19
2014-05-20,156.94
2014-05-21,157.37
2014-05-22,157.98
2014-05-23,158.46
2014-05-24,158.46
2014-05-25,158.46
2014-05-26,158.58
2014-05-27,159.19
2014-05-28,159.42
2014-05-29,159.56
2014-05-30,159.57
2014-05-31,159.57
2014-06-01,159.57
2014-06-02,159.76
2014-06-03,159.41
2014-06-04,159.67
2014-06-05,160.42
2014-06-06,160.93
2014-06-07,160.93
2014-06-08,160.93
2014-06-09,161.25
2014-06-10,161.58
2014-06-11,161.33
2014-06-12,161.09
2014-06-13,160.94
2014-06-14,160.94
2014-06-15,160.94
2014-06-16,160.67
2014-06-17,160.97
2014-06-18,160.93
2014-06-19,161.38
2014-06-20,161.49
2014-06-21,161.49
2014-06-22,161.49
2014-06-23,161.32
2014-06-24,161.2
2014-06-25,160.79
2014-06-26,161.07
2014-06-27,161.14
2014-06-28,161.14
2014-06-29,161.14
2014-06-30,161.25
2014-07-01,161.73
2014-07-02,161.88
2014-07-03,162.62
2014-07-04,162.62
2014-07-05,162.62
2014-07-06,162.62
