"Date","Price","Open","High","Low","Vol.","Change %"
"May 09, 2017","113.24","113.09","113.28","113.09","0.72K","0.24%"
"May 08, 2017","112.97","112.97","112.97","112.65","0.24K","0.58%"
"May 05, 2017","112.32","112.66","112.66","112.40","0.29K","-0.42%"
"May 04, 2017","112.79","113.12","113.12","112.80","0.33K","-0.51%"
"May 03, 2017","113.37","113.45","113.49","113.39","0.24K","-0.11%"
"May 02, 2017","113.49","113.36","113.59","113.36","0.16K","-0.02%"
"Apr 28, 2017","113.51","113.16","113.36","113.16","0.32K","-0.34%"
"Apr 27, 2017","113.90","113.49","113.87","113.49","0.27K","0.26%"
"Apr 26, 2017","113.61","113.51","113.60","113.51","0.12K","-0.31%"
"Apr 24, 2017","113.96","113.78","113.78","113.70","0.07K","-1.75%"
"Apr 21, 2017","115.99","115.66","115.97","115.66","0.28K","0.78%"
"Apr 20, 2017","115.09","115.16","115.25","115.16","0.08K","-0.66%"
"Apr 19, 2017","115.86","115.70","115.92","115.70","0.34K","-0.17%"
"Apr 18, 2017","116.06","115.87","116.08","115.87","0.30K","-0.36%"
"Apr 13, 2017","116.48","116.60","116.64","116.58","0.17K","0.02%"
"Apr 12, 2017","116.46","116.46","116.59","116.46","0.25K","0.16%"
"Apr 11, 2017","116.27","116.20","116.29","116.20","0.13K","0.09%"
"Apr 10, 2017","116.16","116.28","116.33","116.20","0.28K","-0.03%"
"Apr 07, 2017","116.20","116.10","116.27","115.72","6.63K","0.42%"
"Apr 06, 2017","115.71","115.86","115.86","115.68","0.10K","0.11%"
"Apr 05, 2017","115.58","115.45","115.58","115.45","0.19K","0.03%"
"Apr 04, 2017","115.55","115.73","115.77","115.73","0.11K","-0.14%"
"Apr 03, 2017","115.71","115.27","115.79","115.27","0.17K","0.68%"
"Mar 31, 2017","114.93","114.86","115.04","114.86","0.16K","0.37%"
"Mar 30, 2017","114.51","114.53","114.56","114.40","0.11K","0.23%"
"Mar 29, 2017","114.25","113.81","114.29","113.81","0.12K","0.95%"
"Mar 28, 2017","113.17","113.12","113.12","113.12","11.79K","0.18%"
"Mar 27, 2017","112.97","113.15","113.15","113.15","0.14K","-0.58%"
"Mar 24, 2017","113.63","113.62","113.73","113.62","0.16K","-0.12%"
"Mar 23, 2017","113.77","113.99","113.99","113.85","0.43K","0.06%"
"Mar 22, 2017","113.70","113.96","113.96","113.71","0.30K","0.26%"
"Mar 21, 2017","113.41","113.22","113.31","113.22","0.32K","-0.50%"
"Mar 20, 2017","113.98","113.72","113.99","113.72","0.14K","0.11%"
"Mar 17, 2017","113.86","113.85","113.87","113.79","0.36K","0.00%"
"Mar 16, 2017","113.86","113.94","113.94","113.94","0.21K","-0.63%"
"Mar 15, 2017","114.58","114.61","114.75","114.60","0.72K","0.15%"
"Mar 14, 2017","114.41","114.24","114.56","114.22","0.57K","0.28%"
"Mar 13, 2017","114.09","114.29","114.29","114.29","0.09K","0.00%"
"Mar 10, 2017","114.09","114.65","114.65","114.55","0.20K","-0.88%"
"Mar 09, 2017","115.10","115.47","115.47","114.89","0.97K","-0.29%"
"Mar 08, 2017","115.44","115.58","115.58","115.24","1.75K","0.03%"
"Mar 07, 2017","115.41","115.50","115.50","115.49","0.16K","0.00%"
"Mar 06, 2017","115.41","115.31","115.31","115.30","0.16K","-0.22%"
"Mar 03, 2017","115.66","115.84","115.84","115.49","0.21K","-0.34%"
"Mar 02, 2017","116.06","116.24","116.29","116.10","0.59K","0.26%"
"Mar 01, 2017","115.76","116.23","116.23","116.18","0.21K","-0.10%"
"Feb 28, 2017","115.88","115.91","116.02","115.91","0.46K","-0.04%"
"Feb 27, 2017","115.93","116.39","116.40","116.08","2.08K","-0.49%"
"Feb 24, 2017","116.50","116.01","116.48","116.01","0.10K","0.26%"
"Feb 23, 2017","116.20","116.20","116.25","116.14","0.35K","-0.18%"
"Feb 22, 2017","116.41","116.60","116.81","116.60","0.18K","0.05%"
"Feb 21, 2017","116.35","115.52","116.30","115.52","0.21K","0.78%"
"Feb 20, 2017","115.45","115.51","115.56","115.37","0.22K","-0.03%"
"Feb 17, 2017","115.49","115.34","115.34","115.12","0.15K","0.62%"
"Feb 16, 2017","114.78","115.08","115.08","114.89","0.73K","-0.49%"
"Feb 15, 2017","115.34","116.00","116.00","115.83","0.40K","-0.22%"
"Feb 14, 2017","115.59","115.42","115.53","115.42","0.24K","0.03%"
"Feb 13, 2017","115.56","115.29","115.47","115.29","0.17K","0.14%"
"Feb 10, 2017","115.40","115.34","115.54","115.34","0.13K","0.21%"
"Feb 09, 2017","115.16","114.87","115.20","114.87","0.19K","0.09%"
"Feb 08, 2017","115.06","115.52","115.52","115.05","0.28K","0.07%"
"Feb 07, 2017","114.98","115.26","115.26","114.94","0.33K","0.53%"
"Feb 06, 2017","114.37","114.05","114.55","114.01","0.36K","0.48%"
"Feb 03, 2017","113.82","113.84","114.02","113.84","0.18K","0.33%"
"Feb 02, 2017","113.44","113.46","113.46","113.35","0.12K","-0.20%"
"Feb 01, 2017","113.67","113.35","113.59","113.35","0.16K","0.09%"
"Jan 31, 2017","113.57","113.66","113.66","113.66","0.21K","-0.80%"
"Jan 30, 2017","114.49","115.06","115.17","115.05","0.10K","0.15%"
"Jan 27, 2017","114.32","114.28","114.40","114.28","0.34K","-0.04%"
"Jan 26, 2017","114.37","113.73","114.36","113.73","0.88K","0.56%"
"Jan 25, 2017","113.73","113.72","113.89","113.72","0.35K","-0.13%"
"Jan 24, 2017","113.88","113.81","113.81","113.68","0.06K","-0.26%"
"Jan 23, 2017","114.18","114.01","114.20","113.79","0.79K","-0.12%"
"Jan 20, 2017","114.32","114.54","114.54","114.54","0.09K","-0.44%"
"Jan 19, 2017","114.83","114.54","115.20","114.54","0.13K","0.07%"
"Jan 18, 2017","114.75","114.80","115.08","114.80","0.50K","0.01%"
"Jan 17, 2017","114.74","114.80","114.95","114.63","0.29K","-0.77%"
"Jan 16, 2017","115.63","115.83","115.83","115.59","0.07K","0.31%"
"Jan 13, 2017","115.27","115.08","115.21","115.08","0.19K","0.06%"
"Jan 12, 2017","115.20","115.20","115.20","115.20","0.02K","-1.27%"
"Jan 11, 2017","116.68","116.52","116.84","116.52","0.14K","0.73%"
"Jan 10, 2017","115.83","115.79","115.92","115.79","0.10K","-0.01%"
"Jan 09, 2017","115.84","116.39","116.40","115.84","0.17K","0.10%"
"Jan 06, 2017","115.72","115.86","115.86","115.86","0.04K","0.01%"
"Jan 05, 2017","115.71","115.98","116.42","115.98","0.17K","-0.62%"
"Jan 04, 2017","116.43","117.00","117.05","116.69","0.39K","-0.61%"
"Jan 03, 2017","117.14","116.94","117.73","116.94","0.18K","0.39%"
"Jan 02, 2017","116.68","116.97","116.97","116.53","0.08K","0.89%"
"Dec 30, 2016","115.65","115.71","115.71","115.71","0.02K","-0.50%"
