Date,Close,CBR
2013-05-28,1660.06,285.91
2013-05-29,1648.36,285.91
2013-05-30,1654.41,283.76
2013-05-31,1630.74,281.85
2013-06-03,1640.42,284.9
2013-06-04,1631.38,285.94
2013-06-05,1608.9,285.97
2013-06-06,1622.56,287.02
2013-06-07,1643.38,287.67
2013-06-10,1642.81,286.5
2013-06-11,1626.13,285.01
2013-06-12,1612.52,285.22
2013-06-13,1636.36,285.3
2013-06-14,1626.73,286.18
2013-06-17,1639.04,286.26
2013-06-18,1651.81,286.43
2013-06-19,1628.93,287.96
2013-06-20,1588.19,279.57
2013-06-21,1592.43,278.08
2013-06-24,1573.09,277.48
2013-06-25,1588.03,278.02
2013-06-26,1603.26,276.79
2013-06-27,1613.2,277.35
2013-06-28,1606.28,275.62
2013-07-01,1614.96,277.9
2013-07-02,1614.08,279.69
2013-07-03,1615.41,281.79
2013-07-05,1631.89,280.72
2013-07-08,1640.46,282.64
2013-07-09,1652.32,283.6
2013-07-10,1652.62,286.17
2013-07-11,1675.02,286.68
2013-07-12,1680.19,286.66
2013-07-15,1682.5,286.8
2013-07-16,1676.26,288.48
2013-07-17,1680.91,287.96
2013-07-18,1689.37,290.51
2013-07-19,1692.09,290.92
2013-07-22,1695.53,291.04
2013-07-23,1692.39,290.65
2013-07-24,1685.94,287.74
2013-07-25,1690.25,286.9
2013-07-26,1691.65,284.46
2013-07-29,1685.33,283.63
2013-07-30,1685.96,281.68
2013-07-31,1685.73,283.94
2013-08-01,1706.87,285.08
2013-08-02,1709.67,283.77
2013-08-05,1707.14,283.18
2013-08-06,1697.37,281.37
2013-08-07,1690.91,281.54
2013-08-08,1697.48,283.49
2013-08-09,1691.42,285.38
2013-08-12,1689.47,288.24
2013-08-13,1694.16,288.08
2013-08-14,1685.39,290.04
2013-08-15,1661.32,292.45
2013-08-16,1655.83,292.49
2013-08-19,1646.06,293.07
2013-08-20,1652.35,290.34
2013-08-21,1642.8,288.23
2013-08-22,1656.96,288.34
2013-08-23,1663.5,290.79
2013-08-26,1656.78,292.87
2013-08-27,1630.48,294.71
2013-08-28,1634.96,295.69
2013-08-29,1638.17,293.79
2013-08-30,1632.97,291.16
2013-09-03,1639.77,292.73
2013-09-04,1653.08,290.58
2013-09-05,1655.08,290.71
2013-09-06,1655.17,293.34
2013-09-09,1671.71,292.27
2013-09-10,1683.99,290.09
2013-09-11,1689.13,290.68
2013-09-12,1683.42,292.05
2013-09-13,1687.99,291.02
2013-09-16,1697.6,289.46
2013-09-17,1704.76,286.72
2013-09-18,1725.52,289.54
2013-09-19,1722.34,290.51
2013-09-20,1709.91,287.44
2013-09-23,1701.84,286.17
2013-09-24,1697.42,285.17
2013-09-25,1692.77,285.88
2013-09-26,1698.67,286.77
2013-09-27,1691.75,286.98
2013-09-30,1681.55,285.54
2013-10-01,1695.0,284.02
2013-10-02,1693.87,286.44
2013-10-03,1678.66,285.55
2013-10-04,1690.5,286.45
2013-10-07,1676.12,287.34
2013-10-08,1655.45,288.0
2013-10-09,1656.4,285.5
2013-10-10,1692.56,287.38
2013-10-11,1703.2,286.61
2013-10-14,1710.14,287.47
2013-10-15,1698.06,286.31
2013-10-16,1721.54,287.6
2013-10-17,1733.15,286.42
2013-10-18,1744.5,286.92
2013-10-21,1744.66,285.34
2013-10-22,1754.67,284.72
2013-10-23,1746.38,281.74
2013-10-24,1752.07,281.66
2013-10-25,1759.77,282.56
2013-10-28,1762.11,281.87
2013-10-29,1771.95,280.64
2013-10-30,1763.31,280.02
2013-10-31,1756.54,277.86
2013-11-01,1761.64,274.96
2013-11-04,1767.93,273.73
2013-11-05,1762.97,273.03
2013-11-06,1770.49,273.93
2013-11-07,1747.15,273.16
2013-11-08,1770.61,274.39
2013-11-11,1771.89,274.78
2013-11-12,1767.69,273.43
2013-11-13,1782.0,273.49
2013-11-14,1790.62,273.84
2013-11-15,1798.18,274.34
2013-11-18,1791.53,272.92
2013-11-19,1787.87,272.47
2013-11-20,1781.37,273.3
